"COMPbase","2013-03-25232841","pauligiraldo"
"Succinate; Succinic acid; Butanedionic acid; Ethylenesuccinic acid","cpd:C00042","ko00020;ko00190;ko00250;ko00350;ko00360;ko00361;ko00623;ko00630;ko00640;ko00650;ko00720;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko01220;ko02020;ko04727"
"UDP-N-acetyl-alpha-D-glucosamine; UDP-N-acetyl-D-glucosamine; UDP-N-acetylglucosamine","cpd:C00043","ko00520;ko00524;ko00540;ko00550;ko01100;ko01110"
"GTP; Guanosine 5'-triphosphate","cpd:C00044","ko00230;ko00740;ko00790;ko01100;ko03013;ko04122"
"Amino acid; Amino acids","cpd:C00045",""
"RNA; RNAn; RNAn+1; RNA(linear); (Ribonucleotide)n; (Ribonucleotide)m; (Ribonucleotide)n+m; Ribonucleic acid","cpd:C00046","ko00230;ko00240;ko01100"
"L-Lysine; Lysine acid; 2,6-Diaminohexanoic acid","cpd:C00047","ko00300;ko00310;ko00780;ko00960;ko00970;map01060;map01064;ko01100;ko01110;ko01120;ko01210;ko02010;ko04974"
"Glyoxylate; Glyoxalate; Glyoxylic acid","cpd:C00048","ko00230;ko00232;ko00260;ko00330;ko00625;ko00630;ko00660;ko00680;ko00720;ko01100;ko01110;ko01120"
"L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp","cpd:C00049","ko00250;ko00260;ko00270;ko00300;ko00330;ko00340;ko00410;ko00460;ko00710;ko00760;ko00770;ko00910;ko00970;map01060;map01064;map01070;ko01100;ko01110;ko01120;ko01210;ko02010;ko02020;ko02030;ko04080;ko04974"
"Metal","cpd:C00050",""
"Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione","cpd:C00051","ko00270;ko00480;ko01100;ko02010;ko04976"
"UDP-alpha-D-galactose; UDP-D-galactose; UDP-galactose; UDP-D-galactopyranose; UDP-alpha-D-galactopyranose","cpd:C00052","ko00052;ko00520;ko01100;ko01110"
"3'-Phosphoadenylyl sulfate; 3'-Phosphoadenosine 5'-phosphosulfate; 3'-Phospho-5'-adenylyl sulfate; PAPS","cpd:C00053","ko00230;ko00532;ko00534;ko00920;ko01100;ko01120"
"Adenosine 3',5'-bisphosphate; PAP; 3'-Phosphoadenylate; Phosphoadenosine phosphate","cpd:C00054","ko00230;ko00532;ko00534;ko00770;ko00920;ko01120"
"CMP; Cytidine-5'-monophosphate; Cytidylic acid","cpd:C00055","ko00240;ko01100"
"Formate; Methanoic acid; Formic acid","cpd:C00058","ko00620;ko00625;ko00630;ko00680;ko00720;ko00910;ko01100;ko01120;ko01220"
"Sulfate; Sulfuric acid","cpd:C00059","ko00230;ko00270;ko00920;ko01100;ko01120;ko02010"
"Carboxylate; R-COOH; Monocarboxylate; Carboxylic acid","cpd:C00060","ko01100"
"FMN; Riboflavin-5-phosphate; Flavin mononucleotide","cpd:C00061","ko00190;ko00524;ko00740;ko01057;ko01100;ko04977"
"L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg","cpd:C00062","ko00330;ko00331;ko00472;ko00970;map01060;map01064;ko01100;ko01110;ko02010;ko04974;ko05014;ko05132;ko05142;ko05146"
"CTP; Cytidine 5'-triphosphate; Cytidine triphosphate","cpd:C00063","ko00240;ko01100"
"L-Glutamine; L-2-Aminoglutaramic acid","cpd:C00064","ko00230;ko00240;ko00250;ko00330;ko00471;ko00630;ko00910;ko00970;map01060;ko01100;ko01120;ko02010;ko02020;ko04724;ko04727;ko04964;ko04974;ko04978"
"L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine","cpd:C00065","ko00260;ko00270;ko00460;ko00600;ko00630;ko00680;ko00920;ko00970;map01060;ko01100;ko01110;ko01120;ko02010;ko04974;ko04978"
"tRNA; tRNA(n); tRNA(n+1); transfer RNA","cpd:C00066","ko00908"
"Formaldehyde; Methanal; Oxomethane; Oxomethylene; Methylene oxide; Formalin","cpd:C00067","ko00625;ko00680;ko00910;ko01100;ko01120"
"Thiamin diphosphate; Thiamine diphosphate; Thiamin pyrophosphate; TPP; ThPP","cpd:C00068","ko00010;ko00020;ko00280;ko00620;ko00650;ko00730;ko01100;ko04977"
"Alcohol","cpd:C00069",""
"Copper; Cu+; Cu2+; Cu(II)","cpd:C00070","ko02020;ko04978;ko05010;ko05014"
"Aldehyde; RCHO","cpd:C00071","ko00071"
"Ascorbate; Ascorbic acid; L-Ascorbate; L-Ascorbic acid; Vitamin C","cpd:C00072","ko00053;ko00480;ko01100;ko01110;ko01120;ko02060;ko04066;ko04977"
"L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid","cpd:C00073","ko00270;ko00966;ko00970;map01060;map01070;ko01100;ko01110;ko01210;ko04974;ko04978"
"Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP","cpd:C00074","ko00010;ko00020;ko00400;ko00440;ko00620;ko00680;ko00710;ko00720;map01060;map01061;map01062;map01063;map01070;ko01100;ko01110;ko01120;ko02060;ko04964"
"UTP; Uridine 5'-triphosphate; Uridine triphosphate","cpd:C00075","ko00240;ko01100;ko04080"
"Calcium cation; Ca2+; Calcium(2+); Calcium ion","cpd:C00076","ko04010;ko04012;ko04020;ko04062;ko04064;ko04066;ko04070;ko04114;ko04141;ko04260;ko04270;ko04310;ko04360;ko04370;ko04380;ko04540;ko04626;ko04650;ko04660;ko04662;ko04664;ko04666;ko04670;ko04710;ko04713;ko04720;ko04721;ko04722;ko04723;ko04724;ko04725;ko04726;ko04727;ko04728;ko04730;ko04740;ko04742;ko04744;ko04745;ko04911;ko04912;ko04916;ko04930;ko04961;ko04970;ko04971;ko04972;ko04973;ko04974;ko04978;ko05010;ko05014;ko05016;ko05031;ko05032;ko05033;ko05034;ko05133;ko05140;ko05142;ko05143;ko05145;ko05146;ko05152;ko05160;ko05166;ko05169;ko05200;ko05214;ko05223;ko05410;ko05412;ko05414"
"L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate","cpd:C00077","ko00330;ko00472;ko00480;map01060;map01064;ko01100;ko01110;ko01210;ko02010"
"L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid","cpd:C00078","ko00260;ko00380;ko00400;ko00901;ko00966;ko00970;map01060;map01061;map01063;map01070;ko01100;ko01110;ko01210;ko04726;ko04974;ko04978;ko05143"
"L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid","cpd:C00079","ko00360;ko00400;ko00460;ko00940;ko00960;ko00966;ko00970;map01060;map01061;map01063;map01064;map01070;ko01100;ko01110;ko01210;ko02010;ko04974;ko04978"
"H+; Hydron","cpd:C00080","ko00190;ko00195;ko00680;ko00910;ko01100;ko04260;ko04721;ko04742;ko04964;ko04966;ko04970;ko04971;ko04972;ko04974;ko04976;ko04977;ko04978;ko05110;ko05120;ko05164;ko05323"
"ITP; Inosine 5'-triphosphate; Inosine triphosphate; Inosine tripolyphosphate","cpd:C00081","ko00230"
"L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine","cpd:C00082","ko00130;ko00231;ko00350;ko00360;ko00400;ko00401;ko00460;ko00730;ko00940;ko00950;ko00965;ko00966;ko00970;ko01055;map01060;map01063;ko01100;ko01110;ko01210;ko04728;ko04916;ko04974;ko05012;ko05030;ko05031;ko05034"
"Malonyl-CoA; Malonyl coenzyme A","cpd:C00083","ko00061;ko00062;ko00253;ko00360;ko00410;ko00522;ko00620;ko00640;ko00720;ko01055;ko01056;map01060;map01066;map01070;ko01100;ko01110;ko01120;ko04920"
"Acetaldehyde; Ethanal","cpd:C00084","ko00010;ko00360;ko00362;ko00440;ko00564;ko00620;ko00621;ko00622;ko00625;ko01100;ko01110;ko01120"
"D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester","cpd:C00085","ko00040;ko00680;ko00710;ko01100;ko01120"
"Urea; Carbamide","cpd:C00086","ko00230;ko00240;ko00330;ko00780;ko00791;ko01100;ko01120;ko02010;ko05120"
"Sulfur; S; Elemental sulfur","cpd:C00087","ko00920"
"Nitrite","cpd:C00088","ko00910;ko01120;ko02010;ko02020"
"Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside","cpd:C00089","ko00052;ko00500;ko01100;ko02010;ko02060;ko04742;ko04973"
"Catechol; 1,2-Benzenediol; o-Benzenediol; 1,2-Dihydroxybenzene; Brenzcatechin; Pyrocatechol","cpd:C00090","ko00361;ko00362;ko00364;ko00621;ko00624;ko00626;ko00627;ko01100;ko01120;ko01220"
"Succinyl-CoA; Succinyl coenzyme A","cpd:C00091","ko00020;ko00280;ko00360;ko00362;ko00623;ko00626;ko00630;ko00640;ko00720;map01060;map01061;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko01220"
"D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester","cpd:C00092","ko00500;ko00521;ko00524;ko00562;map01062;ko01100;ko01110;ko02020;ko02060;ko04911;ko04973"
"sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate; Glycerol-3-phosphate","cpd:C00093","ko00561;ko00564;ko01100;ko02010"
"Sulfite; Sulfurous acid","cpd:C00094","ko00270;ko00430;ko00920;ko01100;ko01120"
"D-Fructose; Levulose; Fruit sugar; D-arabino-Hexulose","cpd:C00095","ko00051;ko00052;ko00500;ko01100;ko02010;ko02060;ko04973"
"GDP-mannose; GDP-D-mannose; GDP-alpha-D-mannose","cpd:C00096","ko00051;ko00053;ko00510;ko00520;ko01100;ko01110"
"L-Cysteine; L-2-Amino-3-mercaptopropionic acid","cpd:C00097","ko00260;ko00270;ko00311;ko00430;ko00480;ko00730;ko00770;ko00920;ko00970;map01060;ko01100;ko01120;ko04122;ko04974"
"Oligopeptide","cpd:C00098","ko02010"
"beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate","cpd:C00099","ko00240;ko00410;ko00640;ko00770;ko01100;ko01110;ko04080;ko04974"
"Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A","cpd:C00100","ko00280;ko00410;ko00522;ko00561;ko00630;ko00640;ko00660;ko00720;ko01056;ko01100;ko01110;ko01120"
"Tetrahydrofolate; 5,6,7,8-Tetrahydrofolate; Tetrahydrofolic acid; THF; (6S)-Tetrahydrofolate; (6S)-Tetrahydrofolic acid; (6S)-THFA","cpd:C00101","ko00260;ko00670;ko00680;ko00720;ko00790;ko00970;ko01100;ko01120"
"2,6-Dichloroindophenol; 2,6-Dichlorophenolindophenol; DCIP","cpd:C00102",""
"D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate","cpd:C00103","ko00010;ko00040;ko00052;ko00500;ko00520;ko00521;ko00523;map01060;ko01100;ko01110;ko01120"
"IDP; Inosine 5'-diphosphate; Inosine diphosphate","cpd:C00104","ko00230"
"UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid","cpd:C00105","ko00240;ko00550;ko01100"
"Uracil","cpd:C00106","ko00240;ko00410;ko00770;ko01100"
"Dipeptide","cpd:C00107","ko02010;ko02030"
"Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate","cpd:C00108","ko00380;ko00400;ko00621;ko00627;ko01058;map01060;map01061;map01063;map01070;ko01100;ko01110;ko01120;ko01220;map07110"
"2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate","cpd:C00109","ko00260;ko00270;ko00290;ko00640;ko00660;ko01100;ko01110;ko01210"
"Dolichyl phosphate; Dolichol phosphate","cpd:C00110","ko00510;ko01100"
"Glycerone phosphate; Dihydroxyacetone phosphate","cpd:C00111","ko00010;ko00040;ko00051;ko00052;ko00561;ko00562;ko00564;ko00620;ko00680;ko00710;ko00760;ko01100;ko01110;ko01120"
"CDP; Cytidine 5'-diphosphate; Cytidine diphosphate","cpd:C00112","ko00240;ko01100"
"PQQ; Pyrrolo-quinoline quinone; Pyrroloquinoline-quinone; Pyrroloquinoline quinone; 4,5-Dioxo-4,5-dihydro-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate; Methoxatin","cpd:C00113",""
"Choline; Bilineurine","cpd:C00114","ko00260;ko00564;ko01100;ko02010;ko04725;ko04976"
"Glycerol; Glycerin; 1,2,3-Trihydroxypropane; 1,2,3-Propanetriol","cpd:C00116","ko00052;ko00561;ko01100;ko04723"
"D-Ribose 5-phosphate; Ribose 5-phosphate","cpd:C00117","ko00030;ko00230;ko00710;ko01100;ko01110;ko01120"
"D-Glyceraldehyde 3-phosphate; (2R)-2-Hydroxy-3-(phosphonooxy)-propanal; Glyceraldehyde 3-phosphate","cpd:C00118","ko00010;ko00030;ko00040;ko00051;ko00052;ko00331;ko00562;ko00680;ko00710;ko00730;ko00750;ko00900;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120"
"5-Phospho-alpha-D-ribose 1-diphosphate; 5-Phosphoribosyl diphosphate; 5-Phosphoribosyl 1-pyrophosphate; PRPP","cpd:C00119","ko00030;ko00230;ko00240;ko00340;ko00400;map01060;map01065;map01070;ko01100;ko01110;ko01120"
"Biotin; D-Biotin; Vitamin H; Coenzyme R","cpd:C00120","ko00780;ko01100;ko04977"
"D-Ribose","cpd:C00121","ko00030;ko02010;ko02030"
"Fumarate; Fumaric acid; trans-Butenedioic acid","cpd:C00122","ko00020;ko00190;ko00250;ko00330;ko00350;ko00360;ko00623;ko00643;ko00650;ko00720;ko00760;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko01220;ko02020;ko05200;ko05211"
"L-Leucine; 2-Amino-4-methylvaleric acid; (2S)-alpha-2-Amino-4-methylvaleric acid; (2S)-alpha-Leucine","cpd:C00123","ko00280;ko00290;ko00966;ko00970;map01060;map01065;ko01100;ko01110;ko01210;ko02010;ko04974;ko04978"
"D-Galactose","cpd:C00124","ko00052;ko00520;ko01100;ko01110;ko02030;ko04973;ko04978"
"Ferricytochrome c; Cytochrome c3+","cpd:C00125",""
"Ferrocytochrome c; Cytochrome c2+; Reduced cytochrome c","cpd:C00126",""
"Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione","cpd:C00127","ko00480"
"CMP-N-acetylneuraminate","cpd:C00128","ko00520;ko01100;ko01110"
"Isopentenyl diphosphate; delta3-Isopentenyl diphosphate; delta3-Methyl-3-butenyl diphosphate","cpd:C00129","ko00900;map01060;map01062;map01070;ko01100;ko01110"
"IMP; Inosinic acid; Inosine monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; 5'-Inosinate; 5'-Inosinic acid; 5'-Inosine monophosphate; 5'-IMP","cpd:C00130","ko00230;map01060;map01065;map01070;ko01100;ko01110;ko04742"
"dATP; 2'-Deoxyadenosine 5'-triphosphate; Deoxyadenosine 5'-triphosphate; Deoxyadenosine triphosphate","cpd:C00131","ko00230;ko01100"
"Methanol; Methyl alcohol","cpd:C00132","ko00680;ko00901;ko00910;ko01100;ko01120;ko01220"
"D-Alanine; D-2-Aminopropionic acid; D-Ala","cpd:C00133","ko00473;ko00550;ko00750;ko01100"
"Putrescine; 1,4-Butanediamine; 1,4-Diaminobutane; Tetramethylenediamine; Butane-1,4-diamine","cpd:C00134","ko00330;ko00480;ko00960;map01060;map01064;ko01100;ko01110;ko02010;ko04974"
"L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid","cpd:C00135","ko00340;ko00410;ko00970;map01060;map01065;ko01100;ko01110;ko02010;ko04974"
"Butanoyl-CoA; Butyryl-CoA","cpd:C00136","ko00062;ko00071;ko00630;ko00650;ko01056;ko01100"
"myo-Inositol; D-myo-Inositol; 1D-myo-Inositol; L-myo-Inositol; 1L-myo-Inositol; meso-Inositol; Inositol; Dambose; Cyclohexitol; Meat sugar; Bios I","cpd:C00137","ko00052;ko00053;ko00521;ko00562;ko01100;ko01110;ko01120;ko04070"
"Reduced ferredoxin","cpd:C00138","ko00680"
"Oxidized ferredoxin","cpd:C00139","ko00680"
"N-Acetyl-D-glucosamine; N-Acetylchitosamine; 2-Acetamido-2-deoxy-D-glucose; GlcNAc","cpd:C00140","ko00520;ko01110;ko02010;ko02060"
"3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid","cpd:C00141","ko00280;ko00290;ko00770;ko00966;ko01100;ko01110;ko01210"
"5,10-Methylenetetrahydrofolate; (6R)-5,10-Methylenetetrahydrofolate; 5,10-Methylene-THF","cpd:C00143","ko00260;ko00670;ko00680;ko00720;ko01100;ko01120"
"GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid","cpd:C00144","ko00230;map01060;map01065;ko01100;ko04742;ko04744"
"Thiol; Mercaptan","cpd:C00145",""
"Phenol; Benzenol; Hydroxybenzene; Phenic acid; Phenylic acid","cpd:C00146","ko00350;ko00361;ko00362;ko00627;ko01120;ko01220;ko04974"
"Adenine; 6-Aminopurine","cpd:C00147","ko00230;ko00908;ko01100"
"L-Proline; 2-Pyrrolidinecarboxylic acid","cpd:C00148","ko00330;ko00401;ko00970;ko01100;ko01110;ko02010;ko04974;ko04978"
"(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid; Malate; Malic acid","cpd:C00149","ko00020;ko00620;ko00630;ko00680;ko00710;ko00720;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko02020;ko04964;ko05200;ko05211"
"Molybdenum","cpd:C00150",""
"L-Amino acid; L-2-Amino acid","cpd:C00151","ko00480;ko01100;ko02010"
"L-Asparagine; 2-Aminosuccinamic acid","cpd:C00152","ko00250;ko00460;ko00910;ko00970;map01060;ko01100;ko01110;ko04974;ko04978"
"Nicotinamide; Nicotinic acid amide; Niacinamide; Vitamin PP","cpd:C00153","ko00760;ko01100;ko04977"
"Palmitoyl-CoA; Hexadecanoyl-CoA","cpd:C00154","ko00062;ko00071;ko00563;ko00600;ko01040;map01070;ko01100"
"L-Homocysteine; L-2-Amino-4-mercaptobutyric acid","cpd:C00155","ko00270;ko00920;ko01100;ko01110"
"4-Hydroxybenzoate; Hydroxybenzoic acid; 4-Hydroxybenzoic acid; Hydroxybenzenecarboxylic acid","cpd:C00156","ko00130;ko00360;ko00362;ko00363;ko00623;ko00627;map01061;ko01100;ko01110;ko01120;ko01220;map07110"
"Phosphatidylcholine; Lecithin; Phosphatidyl-N-trimethylethanolamine; 1,2-Diacyl-sn-glycero-3-phosphocholine; Choline phosphatide; 3-sn-Phosphatidylcholine","cpd:C00157","ko00564;ko00590;ko00591;ko00592;ko01100;ko04723"
"Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid","cpd:C00158","ko00020;ko00630;ko00720;map01060;map01061;map01062;map01063;map01064;map01065;map01066;map01070;ko01100;ko01110;ko01120;ko01210;ko02020"
"D-Mannose; Mannose; Seminose; Carubinose","cpd:C00159","ko00051;ko00052;ko00520;ko01100;ko02060;ko04142"
